Astor Pl,5.59633536,3/
Canal St,0.14297472,2/
50th St,0.38683008,1/
Bergen St,2.83191552,1/
Pennsylvania Ave,0.57552768,1/
238th St,7.24235904,1/
Cathedral Pkwy (110th St),2.47193856,1/
Kingston - Throop Aves,3.0735936,1/
65th St,3.97281024,1/
36th St,0.21555072,1/
Delancey St - Essex St,5.94832896,3/
Van Siclen Ave,1.44208512,1/
Norwood Ave,2.32460928,3/
104th-102nd Sts,3.40962048,1/
DeKalb Ave,2.08365696,2/
Beach 105th St,1.35789696,1/
Beach 90th St,3.12875136,1/
Freeman St,2.13518592,1/
Intervale Ave,1.1866176,1/
182nd-183rd Sts,1.88407296,1/
174th-175th Sts,1.65908736,1/
167th St,3.138912,3/
Mets - Willets Point,0.0108864,1/
Junction Blvd,7.12115712,2/
Flushing - Main St,8.1756864,2/
Buhre Ave,8.19600768,1/
3rd Ave - 138th St,0.93405312,3/
Castle Hill Ave,3.79717632,1/
Brooklyn Bridge - City Hall,0.62487936,2/
Zerega Ave,2.0284992,1/
Grand Central - 42nd St,0.54577152,2/
33rd St,11.42201088,1/
96th St,10.9843776,1/
77th St,15.63359616,1/
Chauncey St,0.92824704,1/
Union St,6.17331456,1/
Elmhurst Ave,2.71289088,1/
Ralph Ave,1.00082304,1/
Pelham Pkwy,4.80598272,2/
Gun Hill Rd,1.5349824,2/
Nereid Ave (238 St),2.16349056,1/
Franklin Ave,1.19532672,1/
Simpson St,0.71995392,2/
Bronx Park East,2.9538432,1/
Winthrop St,1.38910464,1/
Van Siclen Ave,0.72430848,1/
149th St - Grand Concourse,0.41223168,1/
161st St - Yankee Stadium,0.10596096,2/
Lexington Ave - 59th St,2.83191552,1/
E 149th St,0.84260736,3/
Morrison Av - Soundview,2.56120704,1/
Whitlock Ave,0.54504576,1/
St Lawrence Ave,3.95829504,1/
Woodside - 61st St,5.63480064,2/
Far Rockaway - Mott Ave,8.86660992,2/
72nd St,4.33423872,1/
96th St,4.90323456,3/
168th St,3.60630144,2/
Kingsbridge Rd,2.09164032,2/
42nd St - Bryant Pk,0.18434304,3/
Prospect Park,1.6837632,1/
55th St,10.64544768,1/
Jamaica - Van Wyck,1.98640512,2/
Kew Gardens - Union Tpke,7.74168192,2/
Sutphin Blvd - Archer Av,0.9471168,2/
Court Sq - 23rd St,0.93042432,3/
67th Ave,19.27763712,1/
Grand Ave - Newtown,5.04548352,1/
Ditmas Ave,10.47489408,1/
Classon Ave,5.79446784,3/
Broadway,3.43502208,1/
Lorimer St,2.67224832,3/
Sutter Ave,0.80414208,1/
Wilson Ave,2.4603264,4/
Halsey St,2.69692416,1/
Lorimer St,2.51330688,1/
8th Ave,2.20558464,4/
36th Ave,3.1824576,1/
Broadway,8.84846592,3/
Times Sq - 42nd St,0.0036288,2/
Grand Central - 42nd St,1.05380352,1/
Park Pl,3.07577088,2/
111th St,1.81294848,1/
W 4th St - Washington Sq (Lower),1.89931392,2/
51st St,1.69392384,2/
86th St,12.5629056,1/
233rd St,3.646944,2/
66th St - Lincoln Ctr,9.65696256,2/
Hunts Point Ave,1.02114432,2/
Canal St,2.5002432,1/
Middletown Rd,2.48500224,1/
23rd St,6.31991808,2/
Court Sq,0.39481344,2/
59th St - Columbus Circle,2.91102336,2/
Hunters Point Ave,1.40942592,1/
23rd St,1.45587456,1/
Houston St,2.70998784,1/
104th St,1.5531264,1/
Broad Channel,0.86438016,1/
Ocean Pkwy,6.42950784,1/
Vernon Blvd - Jackson Ave,2.67515136,1/
68th St - Hunter College,5.84889984,1/
Queensboro Plz,0.34183296,1/
Rockaway Blvd,2.71869696,1/
Union Sq - 14th St,2.79127296,1/
Bedford - Nostrand Aves,4.4525376,1/
15th St - Prospect Park,8.14593024,1/
7th Ave,11.29572864,3/
Ft Hamilton Pkwy,6.13339776,1/
Church Ave,7.9180416,2/
Beverly Rd,3.38059008,1/
Church Ave,3.50251776,3/
Newkirk Ave,4.13973504,1/
Parkside Ave,3.21947136,1/
Grand Army Plaza,6.87512448,1/
Atlantic Av - Barclay's Center,0.2140992,2/
Rockaway Ave,0.6314112,3/
Fulton St,2.57209344,1/
Clinton - Washington Aves,6.53982336,1/
7th Ave,3.5852544,1/
Atlantic Av - Barclay's Center,0.5951232,2/
Atlantic Av - Barclay's Center,2.63160576,2/
Borough Hall,1.82673792,3/
Aqueduct Racetrack,5.1456384,1/
Morris Park,5.5992384,1/
Pelham Pkwy,5.70229632,2/
Nostrand Ave,2.92916736,3/
Nevins St,1.03638528,1/
Eastern Pkwy - Bklyn Museum,1.87681536,1/
Beverly Rd,0.8309952,1/
Church Ave,1.08646272,2/
Newkirk Ave,0.73229184,1/
Brooklyn College - Flatbush Ave,7.8853824,2/
Sterling St,4.3146432,1/
Crown Hts - Utica Ave,3.8537856,2/
Kingston Ave,6.30467712,1/
Nassau Ave,11.80956672,1/
Greenpoint Ave,8.80201728,1/
Marcy Ave,22.06455552,2/
Hewes St,5.43739392,1/
138th St - Grand Concourse,0.21192192,1/
5th Ave - 53rd St,0.31497984,1/
Lexington Ave - 53rd St,14.90565888,2/
28th St,1.33031808,1/
Herald Sq - 34th St,0.28522368,2/
1st Ave,25.03363968,1/
Times Sq - 42nd St,0.11539584,1/
Metropolitan Ave,3.09318912,3/
Grand St,3.05617536,3/
Graham Ave,6.64651008,1/
Bedford Ave,11.78416512,1/
Montrose Ave,3.00246912,1/
Long Island City - Court Sq,0.26562816,1/
21st St,1.0196928,1/
39th Ave,0.54214272,1/
145th St,3.91039488,1/
157th St,4.67824896,1/
96th St,16.71860736,2/
103rd St,9.217152,1/
Central Park North (110th St),1.97479296,1/
103rd St,3.53808,1/
72nd St,17.71072128,2/
81st St,4.19634432,3/
75th Ave,4.118688,1/
86th St,6.78875904,1/
Cathedral Pkwy (110th St),5.6028672,1/
116th St - Columbia University,6.20452224,1/
125th St,2.3659776,1/
135th St,2.37250944,2/
116th St,2.16203904,1/
Tremont Ave,2.67950592,3/
137th St - City College,4.12013952,3/
145th St,1.25483904,1/
176th St,1.60175232,1/
Burnside Ave,1.56473856,3/
170th St,2.75716224,1/
168th St,1.07485056,3/
181st St,4.89089664,1/
191st St,5.17902336,1/
175th St,6.74884224,2/
Beach 44th St,0.852768,1/
Beach 60th St,0.99356544,1/
Beach 98th St,1.2374208,1/
Rockaway Park - Beach 116 St,6.6987648,2/
Beach 36th St,1.33394688,1/
Beach 25th St,5.29296768,1/
Parsons Blvd,2.86820352,3/
169th St,2.41750656,1/
103rd St - Corona Plaza,12.66596352,1/
111th St,9.79848576,1/
63rd Dr - Rego Park,10.9299456,1/
Grant Ave,2.60620416,1/
79th St,13.24294272,1/
Atlantic Ave,0.5370624,1/
Christopher St - Sheridan Sq,7.16688,1/
Ozone Park - Lefferts Blvd,2.81667456,2/
Times Sq - 42nd St,0,2/
W 8th St - NY Aquarium,1.75488768,1/
28th St,2.07494784,1/
28th St,10.813824,4/
Pelham Bay Park,3.00900096,1/
Westchester Sq - E Tremont Ave,2.10542976,1/
18th St,0.88615296,1/
Grand Central - 42nd St,11.78053632,2/
Beach 67th St,2.56483584,4/
W 4th St - Washington Sq (Upper),3.74419584,2/
85th St - Forest Pky,4.28416128,1/
Woodhaven Blvd,7.1051904,1/
111th St,4.20505344,1/
121st St,7.48911744,1/
Halsey St,7.30695168,1/
Myrtle - Wyckoff Aves,2.87691264,2/
New Lots Ave,2.06551296,4/
Van Siclen Ave,0.64302336,1/
Cleveland St,1.85649408,1/
Livonia Ave,0.10813824,1/
Junius St,0.23369472,4/
Rockaway Ave,0.82301184,1/
Canarsie - Rockaway Pkwy,1.5676416,2/
E 105th St,1.21056768,1/
Saratoga Ave,1.23306624,1/
Sutter Ave - Rutland Road,1.23451776,1/
New Lots Ave,0.2757888,1/
Broadway Junction,0.15676416,4/
Alabama Ave,0.44416512,1/
Shepherd Ave,1.86012288,1/
Crescent St,3.44953728,1/
Cypress Hills,1.67432832,1/
75th St - Eldert Ln,3.84435072,1/
69th St,5.02806528,1/
74th St - Broadway,6.24008448,2/
Woodhaven Blvd - Queens Mall,12.7298304,4/
Myrtle - Wyckoff Aves,2.05172352,2/
Seneca Ave,9.0320832,1/
DeKalb Ave,5.47803648,1/
52nd St,6.9600384,1/
46th St,8.25334272,1/
Northern Blvd,3.71081088,4/
46th St,10.48070016,4/
82nd St - Jackson Hts,11.66078592,1/
90th St - Elmhurst Av,14.86791936,1/
Howard Beach - JFK Airport,3.45534336,2/
Aqueduct - North Conduit Av,2.83627008,2/
Briarwood - Van Wyck Blvd,5.39675136,4/
Forest Hills - 71st Av,10.3203072,2/
Sutphin Blvd,1.31507712,1/
Jamaica Ctr - Parsons / Archer,0.86873472,2/
225th St,1.71497088,1/
Elder Ave,2.19687552,1/
Longwood Ave,0.80704512,1/
Astoria Blvd,10.31958144,1/
Astoria - Ditmars Blvd,18.82185984,1/
Jackson Ave,1.33249536,1/
Prospect Ave,1.72585728,1/
Cypress Ave,0.67423104,1/
174th St,1.65182976,1/
Allerton Ave,4.19271552,1/
E 143rd St - St Mary's St,0.65753856,1/
Kingsbridge Rd,2.25421056,4/
Bedford Park Blvd - Lehman College,0.5007744,1/
Harlem - 148 St,1.04944896,4/
Mt Eden Ave,1.560384,1/
Fordham Rd,5.30240256,1/
170th St,1.3099968,1/
Bedford Park Blvd,3.03077376,1/
Marble Hill - 225th St,1.61989632,1/
231st St,9.63736704,2/
215th St,2.44798848,1/
207th St,1.80786816,1/
Inwood - 207th St,3.23180928,2/
Van Cortlandt Park - 242nd St,3.66653952,4/
West Farms Sq - E Tremont Av,4.21811712,1/
219th St,0.99792,1/
Mosholu Pkwy,3.3276096,4/
Norwood - 205th St,4.16295936,1/
Burke Ave,2.17510272,1/
Baychester Ave,1.82020608,1/
Eastchester - Dyre Ave,2.67587712,1/
Jamaica - 179th St,3.41615232,2/
Wakefield - 241st St,1.25411328,4/
Botanic Garden,0.326592,1/
Bushwick - Aberdeen,0.39844224,1/
Broadway Junction,0.07330176,4/
Gun Hill Rd,3.98006784,2/
E 180th St,1.74980736,2/
Dyckman St,3.76596864,4/
125th St,5.55424128,1/
Franklin Ave - Fulton St,2.72813184,2/
149th St - Grand Concourse,0.60818688,1/
3rd Ave - 149th St,2.49879168,2/
167th St,2.61418752,1/
Brook Ave,1.66489344,4/
33rd St,1.2483072,4/
40th St,6.85552896,1/
145th St,2.80941696,1/
155th St,0.55302912,1/
161st St - Yankee Stadium,2.6163648,2/
Utica Ave,2.29267584,2/
Steinway St,5.46061824,4/
Kosciuszko St,2.95602048,1/
Gates Ave,3.44881152,1/
Central Ave,3.26882304,1/
Knickerbocker Ave,4.59478656,1/
30th Ave,12.3342912,1/
Jefferson St,5.85107712,4/
Morgan Ave,2.4349248,1/
Queens Plz,0.19522944,2/
18th Ave,11.1513024,1/
77th St,10.86898176,1/
Bay Ridge Ave,10.28547072,1/
50th St,11.65497984,1/
Ft Hamilton Pkwy,6.87802752,1/
25th Ave,3.864672,1/
Bay Pky,7.72063488,2/
20th Ave,4.70147328,1/
18th Ave,6.56304768,1/
Bay Ridge - 95th St,10.9807488,1/
86th St,11.58458112,1/
79th St,7.19155584,1/
71st St,6.32354688,1/
20th Ave,7.58274048,1/
18th Ave,10.2441024,4/
62nd St,3.98297088,2/
New Utrecht Ave,0.40424832,2/
Ave U,4.61075328,1/
Kings Hwy,5.92292736,4/
Brighton Beach,13.42220544,1/
Sheepshead Bay,15.62488704,4/
Ave U,12.01205376,1/
Kings Hwy,20.10790656,2/
Ave U,1.868832,1/
Kings Hwy,5.36772096,4/
Neptune Ave,6.11960832,4/
Ave X,5.80172544,1/
Bay 50th St,3.4981632,1/
Gravesend - 86th St,1.2628224,1/
Ave P,6.45490944,1/
Ave N,7.01664768,1/
Bay Pky,1.59159168,1/
Ave M,16.23960576,1/
Bay Pky,5.79809664,1/
Ave I,6.07606272,4/
Ave J,10.71512064,1/
Ave H,3.69339264,2/
Neck Rd,12.57887232,1/
21st St - Queensbridge,2.12937984,2/
50th St,8.47397376,4/
7th Ave,0.78962688,4/
47th-50th Sts - Rockefeller Ctr,0.5406912,2/
57th St,1.30201344,1/
Lexington Ave - 63rd St,7.18284672,2/
Roosevelt Island - Main St,3.67016832,2/
59th St - Columbus Circle,5.88155904,2/
49th St,0.69600384,4/
57th St,6.03687168,1/
5th Ave - 59th St,1.0051776,1/
Lexington Ave - 59th St,6.14863872,4/
34th St - Penn Station,0.28522368,2/
Times Sq - 42nd St,0.01596672,2/
Fulton St,0.26635392,2/
Chambers St,0.50658048,1/
42nd St - Port Authority Bus Term,6.77206656,2/
Myrtle-Willoughby Aves,5.08177152,1/
Flushing Ave,14.67994752,1/
23rd St,5.19208704,1/
Herald Sq - 34th St,0.59584896,2/
Hoyt - Schermerhorn Sts,1.77520896,4/
Jay St - MetroTech,0.52327296,2/
East Broadway,6.604416,1/
Delancey St - Essex St,1.41668352,4/
Lower East Side - 2nd Ave,11.32113024,1/
Flushing Ave,3.09681792,2/
Myrtle Ave,3.26592,4/
4th Av - 9th St,2.0829312,1/
Smith - 9th Sts,3.62081664,1/
Bergen St,8.7490368,1/
Jay St - MetroTech,0.72358272,2/
Court St,6.63199488,1/
Union Sq - 14th St,1.35426816,2/
23rd St,2.48717952,1/
Prospect Ave,5.5919808,1/
4th Av - 9th St,3.937248,1/
3rd Ave,7.39404288,1/
Union Sq - 14th St,2.47701888,2/
Liberty Ave,0.42166656,1/
Broadway Junction,0.16619904,1/
59th St,3.828384,1/
45th St,5.4940032,1/
36th St,2.49734016,4/
9th Ave,2.58588288,1/
53rd St,5.5048896,1/
Ft Hamilton Pkwy,12.82853376,1/
25th St,3.26882304,1/
Carroll St,12.67757568,1/
Spring St,2.44726272,1/
181st St,6.28363008,4/
190th St,3.1679424,1/
116th St,2.98142208,1/
125th St,2.78474112,2/
Prince St,1.324512,1/
8th St - NYU,6.17839488,1/
Fulton St,3.9263616,2/
Park Pl,0.22208256,1/
Chambers St,3.99240576,2/
Hoyt St,0.66189312,1/
Borough Hall,0.7148736,2/
183rd St,1.37749248,1/
Fordham Rd,2.2171968,2/
World Trade Center,0.83317248,2/
Canal St - Holland Tunnel,0.79688448,1/
155th St,2.40081408,1/
163rd St - Amsterdam Av,3.0627072,1/
Fulton St,0.4753728,2/
Chambers St,1.48200192,1/
Canal St,1.01170944,1/
City Hall,0.9471168,1/
Canal St,0.99646848,1/
South Ferry,0.2032128,2/
Bowling Green,1.95882624,2/
Wall St,0.36360576,1/
Whitehall St,0.32586624,1/
Rector St,0.15458688,1/
Fresh Pond Rd,17.05971456,1/
Middle Village - Metropolitan Ave,14.859936,2/
Rector St,4.25077632,1/
Cortlandt St,2.65410432,1/
Fulton St,0.94856832,2/
Broad St,0.43037568,1/
Cortlandt St,0.44053632,2/
Wall St,4.43584512,1/
Dyckman St,4.8299328,1/
Grand St,1.73892096,1/
Broadway - Lafayette St,1.73674368,2/
Bowery,1.74109824,1/
Canal St,0.21337344,1/
23rd St,8.65033344,1/
34th St - Penn Station,2.87836416,2/
Jackson Hts - Roosevelt Av,1.50087168,2/
14th St,2.82248064,4/
135th St,2.05462656,1/
14th St,2.53943424,4/
6th Ave,3.67742592,4/
8th Ave,6.27274368,1/
14th St,5.2944192,2/
Nostrand Ave,2.53725696,1/
Clark St,3.61138176,1/
Franklin Ave,1.1648448,2/
Clinton - Washington Aves,4.42931328,1/
Forest Ave,14.7619584,1/
110th St,4.43294208,4/
86th St,14.33376,4/
York St,3.72968064,1/
High St,4.03232256,1/
Lafayette Ave,1.36733184,1/
President St,2.78183808,1/
Woodlawn,1.45442304,1/
Bleecker St,3.39800832,2/
103rd St,6.7423104,1/
Euclid Ave,3.31744896,2/
88th St,3.85160832,1/
Cortelyou Rd,3.97426176,1/
116th St,4.19997312,1/
Parkchester,6.02453376,4/
Franklin St,3.00682368,1/
80th St,2.42984448,1/
5th Ave - Bryant Pk,0.61762176,4/
Spring St,1.83326976,1/
125th St,2.4639552,1/
Coney Island - Stillwell Av,5.28208128,2/
34th St - Hudson Yards,7.11462528,2/
72nd St,24.91679232,2/
86th St,32.9008781,2/
96th St,13.34092032,2/
